Date,AGG,EEM,GLD,GSG,LQD,QQQ,SLV,SPY,TLT,VGK,VNQ,VPL,VWRA.L
2022-07-08,92.65664672851562,37.55622100830078,162.3000030517578,22.770000457763672,98.44305419921875,289.9399108886719,17.790000915527344,373.61126708984375,101.97083282470703,48.13713073730469,81.90890502929688,58.82170486450195,97.01000213623047
2022-07-11,93.08684539794922,36.5538444519043,161.42999267578125,22.760000228881836,98.71959686279297,283.7455139160156,17.579999923706055,369.34332275390625,103.729248046875,47.35463333129883,81.73100280761719,57.748558044433594,95.37999725341797
2022-07-12,93.2149887084961,36.41332244873047,160.8300018310547,21.579999923706055,98.8623046875,280.99676513671875,17.440000534057617,366.0750732421875,104.34559631347656,47.327022552490234,81.41077423095703,57.77607345581055,95.43000030517578
2022-07-13,93.55361938476562,36.32901382446289,161.60000610351562,21.729999542236328,99.602783203125,280.4176330566406,17.690000534057617,364.15252685546875,105.54204559326172,47.345436096191406,81.0193862915039,57.60179901123047,94.20999908447266
2022-07-14,93.22415924072266,36.00113296508789,159.3300018310547,21.6200008392334,98.96937561035156,281.4189758300781,17.0,363.2682189941406,104.68097686767578,46.56293869018555,80.2899398803711,57.042293548583984,92.80000305175781
2022-07-15,93.59024810791016,36.188499450683594,159.00999450683594,21.889999389648438,99.76333618164062,286.52374267578125,17.190000534057617,370.2084655761719,105.27012634277344,47.45589828491211,81.65095520019531,57.7393798828125,94.9800033569336
2022-07-18,93.28822326660156,36.441429138183594,159.16000366210938,22.479999542236328,99.0675277709961,284.0989074707031,17.219999313354492,367.15167236328125,104.1733627319336,47.74127960205078,81.07275390625,57.867794036865234,96.16000366210938
2022-07-19,93.16007995605469,37.040985107421875,159.5399932861328,22.600000381469727,99.34408569335938,292.8358459472656,17.290000915527344,377.0718688964844,103.61141204833984,49.29706573486328,83.17207336425781,58.88591384887695,96.93000030517578
2022-07-20,93.09600067138672,36.8817253112793,158.0399932861328,22.600000381469727,99.23698425292969,297.47918701171875,17.190000534057617,379.4749755859375,103.88333129882812,48.71709442138672,82.97637176513672,58.88591384887695,97.80999755859375
2022-07-21,93.8740234375,37.30328369140625,160.27000427246094,22.170000076293945,100.59300994873047,301.7495422363281,17.399999618530273,383.3392333984375,105.67801666259766,49.333885192871094,83.6346206665039,59.628868103027344,98.01000213623047
2022-07-22,94.60626983642578,36.928565979003906,160.6699981689453,21.920000076293945,101.36910247802734,296.4582824707031,17.139999389648438,379.7825927734375,107.4545669555664,49.112937927246094,84.07049560546875,59.592185974121094,98.06999969482422
2022-07-25,94.25846862792969,37.05971908569336,160.22999572753906,22.309999465942383,100.5126953125,294.76983642578125,16.979999542236328,380.24395751953125,106.40312194824219,49.58244705200195,84.21281433105469,59.82148742675781,98.08000183105469
2022-07-26,94.24014282226562,36.769309997558594,160.0399932861328,22.329999923706055,100.49488067626953,288.9778747558594,17.15999984741211,375.74530029296875,106.48472595214844,48.78153991699219,84.30177307128906,59.28949737548828,97.04000091552734
2022-07-27,94.56964111328125,37.45317077636719,161.6699981689453,22.860000610351562,101.16394805908203,301.1899719238281,17.600000381469727,385.50201416015625,105.88652801513672,49.95988082885742,84.8088150024414,60.481895446777344,98.06999969482422
2022-07-28,95.24695587158203,37.6124267578125,163.63999938964844,22.790000915527344,102.00251007080078,304.1350402832031,18.43000030517578,390.337158203125,106.7294692993164,50.23604965209961,87.55750274658203,60.922157287597656,99.58999633789062
2022-07-29,95.25613403320312,37.43443298339844,164.10000610351562,22.93000030517578,102.24336242675781,309.68145751953125,18.700000762939453,396.02783203125,106.43939208984375,51.05536651611328,88.02896118164062,61.33491134643555,100.66000366210938
2022-08-01,95.58627319335938,37.11592102050781,165.02999877929688,22.25,102.44547271728516,309.49505615234375,18.790000915527344,394.8550720214844,109.00285339355469,50.97251892089844,87.31732177734375,61.729312896728516,101.5
2022-08-02,94.60501861572266,36.93793487548828,164.0500030517578,22.049999237060547,101.1935043334961,308.57220458984375,18.40999984741211,392.2500305175781,106.69635772705078,50.14399719238281,86.1965103149414,60.76622772216797,100.9000015258789
2022-08-03,95.02684020996094,37.228336334228516,164.4499969482422,21.850000381469727,102.29344940185547,316.9754333496094,18.489999771118164,398.39251708984375,108.37627410888672,50.65951919555664,86.4722671508789,60.922157287597656,101.16000366210938
2022-08-04,95.25613403320312,37.49064636230469,167.1699981689453,21.559999465942383,102.45441436767578,318.457763671875,18.639999389648438,398.1234130859375,108.33993530273438,51.046165466308594,86.33881378173828,61.0230598449707,101.63999938964844
2022-08-05,94.19231414794922,37.52811813354492,165.2899932861328,21.469999313354492,101.06830596923828,315.8563232421875,18.329999923706055,397.45050048828125,105.76107788085938,50.530643463134766,86.57901000976562,60.683685302734375,100.94000244140625
2022-08-08,94.62335205078125,37.574954986572266,166.69000244140625,21.690000534057617,101.47073364257812,314.8353576660156,19.030000686645508,396.98907470703125,107.46820068359375,50.71475601196289,87.35291290283203,60.84877014160156,102.18000030517578
2022-08-09,94.41240692138672,37.43443298339844,167.1999969482422,21.889999389648438,101.01468658447266,311.2718811035156,18.93000030517578,395.41259765625,107.05052947998047,50.475399017333984,87.833251953125,60.34430694580078,101.18000030517578
2022-08-10,94.65084838867188,37.90283203125,166.77999877929688,22.219999313354492,101.97152709960938,319.9596862792969,18.950000762939453,403.71783447265625,106.35132598876953,51.6445426940918,89.16757202148438,61.747657775878906,103.19999694824219
2022-08-11,94.14646911621094,38.05271911621094,166.33999633789062,22.65999984741211,100.98785400390625,318.1436462402344,18.670000076293945,403.71783447265625,103.87230682373047,51.56168746948242,88.95407104492188,61.76600646972656,103.81999969482422
2022-08-12,94.56832122802734,38.455543518066406,167.8699951171875,22.56999969482422,102.1593246459961,324.33807373046875,19.170000076293945,410.5523681640625,104.92565155029297,51.865478515625,90.48408508300781,62.38054656982422,103.87999725341797
